OID_,Status,Score,X,Y,USER_Ward,USER_Precinct,USER_Location2,USER_Location3,Match_addr,USER_City,USER_State,USER_ZipCode,USER_Voting_Roo,USER_HP_Entrance,shape_wkt,POINT_X,POINT_Y
1,M,99.670000000000002,-71.034890921337009,42.365571666679159,1.000000000000000,1,SAMUEL ADAMS ELEMENTARY SCHOOL ,165 WEBSTER STREET,"165 Webster Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN AUDITORIUM,VOTERS ENTER FROM LEFT OF MAIN ENTRANCE,POINT (-71.034890920999942 42.36557166700004),-71.034890920999942,42.365571667000040
2,M,99.640000000000001,-71.037528873904392,42.372896737592725,1.000000000000000,4,PARIS STREET COMMUNITY CENTER ,112 PARIS STREET,"112 Paris Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN GYMNASIUM,,POINT (-71.037528873999975 42.372896738000065),-71.037528873999975,42.372896738000065
3,M,100.000000000000000,-71.040179650783628,42.368670204826003,1.000000000000000,3,BHA HERITAGE APARTMENTS ,209 SUMNER STREET,"209 Sumner Street, #3, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN COMMUNITY ROOM,,POINT (-71.04017965099996 42.368670205000058),-71.040179650999960,42.368670205000058
4,M,99.670000000000002,-71.034221207273291,42.369256686591200,1.000000000000000,2,DONALD MCKAY SCHOOL ,122 COTTAGE STREET,"122 Cottage Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN MUSIC ROOM,VOTER ENTRANCE MCKAY PLACE,POINT (-71.034221206999973 42.369256687000075),-71.034221206999973,42.369256687000075
5,M,99.640000000000001,-71.037528873904392,42.372896737592725,1.000000000000000,5,PARIS STREET COMMUNITY CENTER ,112 PARIS STREET,"112 Paris Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN GYMNASIUM,,POINT (-71.037528873999975 42.372896738000065),-71.037528873999975,42.372896738000065
6,M,99.629999999999995,-71.034922018197790,42.380966121508266,1.000000000000000,6,EAST BOSTON HIGH SCHOOL GYMNASIUM ,86 WHITE STREET,"86 White Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN GYMNASIUM,VOTER ENTRANCE LEFT SIDE OF BUILDING ON BROOKS STREET,POINT (-71.034922017999975 42.380966122000075),-71.034922017999975,42.380966122000075
7,M,99.629999999999995,-71.034922018197790,42.380966121508266,1.000000000000000,7,EAST BOSTON HIGH SCHOOL GYMNASIUM ,86 WHITE STREET,"86 White Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN GYMNASIUM,VOTER ENTRANCE LEFT SIDE OF BUILDING ON BROOKS STREET,POINT (-71.034922017999975 42.380966122000075),-71.034922017999975,42.380966122000075
8,M,99.629999999999995,-71.034922018197790,42.380966121508266,1.000000000000000,8,EAST BOSTON HIGH SCHOOL GYMNASIUM ,86 WHITE STREET,"86 White Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN GYMNASIUM,VOTER ENTRANCE LEFT SIDE OF BUILDING ON BROOKS STREET,POINT (-71.034922017999975 42.380966122000075),-71.034922017999975,42.380966122000075
9,M,99.629999999999995,-71.034922018197790,42.380966121508266,1.000000000000000,9,EAST BOSTON HIGH SCHOOL GYMNASIUM ,86 WHITE STREET,"86 White Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN GYMNASIUM,VOTER ENTRANCE LEFT SIDE OF BUILDING ON BROOKS STREET,POINT (-71.034922017999975 42.380966122000075),-71.034922017999975,42.380966122000075
10,M,99.329999999999998,-71.004168480170975,42.388552037248644,1.000000000000000,13,CURTIS GUILD ELEMENTARY SCHOOL ,195 LEYDEN STREET,"195 Leyden Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN GYMNASIUM,VOTER ENTRANCE 195 LEYDEN STREET TO THE FAR RIGHT OF BUILDING,POINT (-71.004168479999976 42.388552037000068),-71.004168479999976,42.388552037000068
11,M,99.290000000000006,-71.034922018197790,42.380966121508266,1.000000000000000,10,EAST BOSTON HIGH SCHOOL GYMNASIUM ,86 WHITE STREET,"86 White Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN GYMNASIUM,VOTER ENTRANCE LEFT SIDE OF BUILDING ON BROOKS STREET,POINT (-71.034922017999975 42.380966122000075),-71.034922017999975,42.380966122000075
12,M,99.379999999999995,-71.004661168439625,42.384067341864153,1.000000000000000,12,ORIENT HEIGHTS YACHT CLUB ,61 BAYSWATER STREET,"61 Bayswater Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN FUNCTION ROOM,,POINT (-71.004661167999984 42.384067342000037),-71.004661167999984,42.384067342000037
13,M,99.290000000000006,-71.020132904416016,42.383834869779577,1.000000000000000,11,CHEVERUS SCHOOL APARTMENTS ,10 MOORE STREET,"10 Moore Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN LOBBY,VOTER ENTRANCE THROUGH PARKING LOT FROM CHAUCER STREET TO THE LEFT OF THE MAIN ENTRANCE,POINT (-71.020132903999979 42.383834870000044),-71.020132903999979,42.383834870000044
14,M,99.260000000000005,-71.009459221274341,42.392664743770212,1.000000000000000,14,OVERLOOK TERRACE ,40 VALLAR ROAD,"40 Vallar Road, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN COMMUNITY ROOM,,POINT (-71.009459220999986 42.392664744000058),-71.009459220999986,42.392664744000058
15,M,99.430000000000007,-71.045130840989358,42.319100048541600,1.000000000000000,15,CORCORAN MULLINS JENNISON COMMUNITY BUILDING , 270 MOUNT VERNON STREET,"270 Mount Vernon Street, Dorchester, Massachusetts, 02125",BOSTON,MA,02125,VOTE IN PORTLAND HALL 2ND FLOOR,,POINT (-71.045130840999946 42.319100049000042),-71.045130840999946,42.319100049000042
16,M,99.620000000000005,-71.064296146419039,42.376701367263081,2.000000000000000,1,CHARLESTOWN BOYS & GIRLS CLUB ,60 HIGH STREET,"60 High Street, Charlestown, Massachusetts, 02129",BOSTON,MA,02129,VOTE IN GYMNASIUM,,POINT (-71.064296145999947 42.376701367000067),-71.064296145999947,42.376701367000067
17,M,99.620000000000005,-71.064296146419039,42.376701367263081,2.000000000000000,3,CHARLESTOWN BOYS & GIRLS CLUB ,60 HIGH STREET,"60 High Street, Charlestown, Massachusetts, 02129",BOSTON,MA,02129,VOTE IN GYMNASIUM,,POINT (-71.064296145999947 42.376701367000067),-71.064296145999947,42.376701367000067
18,M,99.689999999999998,-71.057547457077334,42.376632635657046,2.000000000000000,2,HARVARD/KENT SCHOOL ,50 BUNKER HILL STREET,"50 Bunker Hill Street, Charlestown, Massachusetts, 02129",BOSTON,MA,02129,VOTE IN GYMNASIUM,,POINT (-71.057547456999941 42.376632636000068),-71.057547456999941,42.376632636000068
